pin,bank,pin_func,is_general_purpose,site
E37,70,IO_T2U_N12_70,1,IOB_X0Y558
B31,70,IO_T3U_N12_70,1,IOB_X0Y571
H38,70,IO_L1N_T0L_N1_DBC_70,1,IOB_X0Y521
H37,70,IO_L1P_T0L_N0_DBC_70,1,IOB_X0Y520
F37,70,IO_L2N_T0L_N3_70,1,IOB_X0Y523
G37,70,IO_L2P_T0L_N2_70,1,IOB_X0Y522
J36,70,IO_L3N_T0L_N5_AD15N_70,1,IOB_X0Y525
J35,70,IO_L3P_T0L_N4_AD15P_70,1,IOB_X0Y524
G36,70,IO_L4N_T0U_N7_DBC_AD7N_70,1,IOB_X0Y527
H36,70,IO_L4P_T0U_N6_DBC_AD7P_70,1,IOB_X0Y526
G34,70,IO_L5N_T0U_N9_AD14N_70,1,IOB_X0Y529
H34,70,IO_L5P_T0U_N8_AD14P_70,1,IOB_X0Y528
F35,70,IO_L6N_T0U_N11_AD6N_70,1,IOB_X0Y531
F34,70,IO_L6P_T0U_N10_AD6P_70,1,IOB_X0Y530
D40,70,IO_L7N_T1L_N1_QBC_AD13N_70,1,IOB_X0Y534
E40,70,IO_L7P_T1L_N0_QBC_AD13P_70,1,IOB_X0Y533
D39,70,IO_L8N_T1L_N3_AD5N_70,1,IOB_X0Y536
E39,70,IO_L8P_T1L_N2_AD5P_70,1,IOB_X0Y535
A40,70,IO_L9N_T1L_N5_AD12N_70,1,IOB_X0Y538
B40,70,IO_L9P_T1L_N4_AD12P_70,1,IOB_X0Y537
A39,70,IO_L10N_T1U_N7_QBC_AD4N_70,1,IOB_X0Y540
B39,70,IO_L10P_T1U_N6_QBC_AD4P_70,1,IOB_X0Y539
D38,70,IO_L11N_T1U_N9_GC_70,1,IOB_X0Y542
E38,70,IO_L11P_T1U_N8_GC_70,1,IOB_X0Y541
C39,70,IO_L12N_T1U_N11_GC_70,1,IOB_X0Y544
C38,70,IO_L12P_T1U_N10_GC_70,1,IOB_X0Y543
C37,70,IO_L13N_T2L_N1_GC_QBC_70,1,IOB_X0Y547
C36,70,IO_L13P_T2L_N0_GC_QBC_70,1,IOB_X0Y546
D36,70,IO_L14N_T2L_N3_GC_70,1,IOB_X0Y549
E36,70,IO_L14P_T2L_N2_GC_70,1,IOB_X0Y548
A38,70,IO_L15N_T2L_N5_AD11N_70,1,IOB_X0Y551
A37,70,IO_L15P_T2L_N4_AD11P_70,1,IOB_X0Y550
B37,70,IO_L16N_T2U_N7_QBC_AD3N_70,1,IOB_X0Y553
B36,70,IO_L16P_T2U_N6_QBC_AD3P_70,1,IOB_X0Y552
A35,70,IO_L17N_T2U_N9_AD10N_70,1,IOB_X0Y555
B35,70,IO_L17P_T2U_N8_AD10P_70,1,IOB_X0Y554
D35,70,IO_L18N_T2U_N11_AD2N_70,1,IOB_X0Y557
E35,70,IO_L18P_T2U_N10_AD2P_70,1,IOB_X0Y556
A34,70,IO_L19N_T3L_N1_DBC_AD9N_70,1,IOB_X0Y560
B34,70,IO_L19P_T3L_N0_DBC_AD9P_70,1,IOB_X0Y559
C34,70,IO_L20N_T3L_N3_AD1N_70,1,IOB_X0Y562
D34,70,IO_L20P_T3L_N2_AD1P_70,1,IOB_X0Y561
C33,70,IO_L21N_T3L_N5_AD8N_70,1,IOB_X0Y564
D33,70,IO_L21P_T3L_N4_AD8P_70,1,IOB_X0Y563
A33,70,IO_L22N_T3U_N7_DBC_AD0N_70,1,IOB_X0Y566
A32,70,IO_L22P_T3U_N6_DBC_AD0P_70,1,IOB_X0Y565
B32,70,IO_L23N_T3U_N9_70,1,IOB_X0Y568
C32,70,IO_L23P_T3U_N8_70,1,IOB_X0Y567
C31,70,IO_L24N_T3U_N11_70,1,IOB_X0Y570
D31,70,IO_L24P_T3U_N10_70,1,IOB_X0Y569
N27,71,IO_T0U_N12_VRP_71,1,IOB_X0Y584
M26,71,IO_T1U_N12_71,1,IOB_X0Y597
E26,71,IO_T2U_N12_71,1,IOB_X0Y610
C28,71,IO_T3U_N12_71,1,IOB_X0Y623
R28,71,IO_L1N_T0L_N1_DBC_71,1,IOB_X0Y573
T28,71,IO_L1P_T0L_N0_DBC_71,1,IOB_X0Y572
R27,71,IO_L2N_T0L_N3_71,1,IOB_X0Y575
T27,71,IO_L2P_T0L_N2_71,1,IOB_X0Y574
R26,71,IO_L3N_T0L_N5_AD15N_71,1,IOB_X0Y577
T26,71,IO_L3P_T0L_N4_AD15P_71,1,IOB_X0Y576
N29,71,IO_L4N_T0U_N7_DBC_AD7N_71,1,IOB_X0Y579
P29,71,IO_L4P_T0U_N6_DBC_AD7P_71,1,IOB_X0Y578
N28,71,IO_L5N_T0U_N9_AD14N_71,1,IOB_X0Y581
P28,71,IO_L5P_T0U_N8_AD14P_71,1,IOB_X0Y580
N26,71,IO_L6N_T0U_N11_AD6N_71,1,IOB_X0Y583
P26,71,IO_L6P_T0U_N10_AD6P_71,1,IOB_X0Y582
L29,71,IO_L7N_T1L_N1_QBC_AD13N_71,1,IOB_X0Y586
M29,71,IO_L7P_T1L_N0_QBC_AD13P_71,1,IOB_X0Y585
K28,71,IO_L8N_T1L_N3_AD5N_71,1,IOB_X0Y588
L28,71,IO_L8P_T1L_N2_AD5P_71,1,IOB_X0Y587
L27,71,IO_L9N_T1L_N5_AD12N_71,1,IOB_X0Y590
M27,71,IO_L9P_T1L_N4_AD12P_71,1,IOB_X0Y589
K27,71,IO_L10N_T1U_N7_QBC_AD4N_71,1,IOB_X0Y592
K26,71,IO_L10P_T1U_N6_QBC_AD4P_71,1,IOB_X0Y591
H28,71,IO_L11N_T1U_N9_GC_71,1,IOB_X0Y594
H27,71,IO_L11P_T1U_N8_GC_71,1,IOB_X0Y593
J29,71,IO_L12N_T1U_N11_GC_71,1,IOB_X0Y596
J28,71,IO_L12P_T1U_N10_GC_71,1,IOB_X0Y595
H26,71,IO_L13N_T2L_N1_GC_QBC_71,1,IOB_X0Y599
J26,71,IO_L13P_T2L_N0_GC_QBC_71,1,IOB_X0Y598
G27,71,IO_L14N_T2L_N3_GC_71,1,IOB_X0Y601
G26,71,IO_L14P_T2L_N2_GC_71,1,IOB_X0Y600
G29,71,IO_L15N_T2L_N5_AD11N_71,1,IOB_X0Y603
H29,71,IO_L15P_T2L_N4_AD11P_71,1,IOB_X0Y602
F29,71,IO_L16N_T2U_N7_QBC_AD3N_71,1,IOB_X0Y605
F28,71,IO_L16P_T2U_N6_QBC_AD3P_71,1,IOB_X0Y604
E27,71,IO_L17N_T2U_N9_AD10N_71,1,IOB_X0Y607
F27,71,IO_L17P_T2U_N8_AD10P_71,1,IOB_X0Y606
D28,71,IO_L18N_T2U_N11_AD2N_71,1,IOB_X0Y609
E28,71,IO_L18P_T2U_N10_AD2P_71,1,IOB_X0Y608
B27,71,IO_L19N_T3L_N1_DBC_AD9N_71,1,IOB_X0Y612
C27,71,IO_L19P_T3L_N0_DBC_AD9P_71,1,IOB_X0Y611
C29,71,IO_L20N_T3L_N3_AD1N_71,1,IOB_X0Y614
D29,71,IO_L20P_T3L_N2_AD1P_71,1,IOB_X0Y613
D30,71,IO_L21N_T3L_N5_AD8N_71,1,IOB_X0Y616
E30,71,IO_L21P_T3L_N4_AD8P_71,1,IOB_X0Y615
A28,71,IO_L22N_T3U_N7_DBC_AD0N_71,1,IOB_X0Y618
A27,71,IO_L22P_T3U_N6_DBC_AD0P_71,1,IOB_X0Y617
A29,71,IO_L23N_T3U_N9_71,1,IOB_X0Y620
B29,71,IO_L23P_T3U_N8_71,1,IOB_X0Y619
A30,71,IO_L24N_T3U_N11_71,1,IOB_X0Y622
B30,71,IO_L24P_T3U_N10_71,1,IOB_X0Y621
M15,72,IO_T0U_N12_VRP_72,1,IOB_X0Y636
L15,72,IO_T1U_N12_72,1,IOB_X0Y649
D14,72,IO_T2U_N12_72,1,IOB_X0Y662
C17,72,IO_T3U_N12_72,1,IOB_X0Y675
N13,72,IO_L1N_T0L_N1_DBC_72,1,IOB_X0Y625
P13,72,IO_L1P_T0L_N0_DBC_72,1,IOB_X0Y624
N14,72,IO_L2N_T0L_N3_72,1,IOB_X0Y627
P14,72,IO_L2P_T0L_N2_72,1,IOB_X0Y626
P15,72,IO_L3N_T0L_N5_AD15N_72,1,IOB_X0Y629
R15,72,IO_L3P_T0L_N4_AD15P_72,1,IOB_X0Y628
P16,72,IO_L4N_T0U_N7_DBC_AD7N_72,1,IOB_X0Y631
R16,72,IO_L4P_T0U_N6_DBC_AD7P_72,1,IOB_X0Y630
L14,72,IO_L5N_T0U_N9_AD14N_72,1,IOB_X0Y633
M14,72,IO_L5P_T0U_N8_AD14P_72,1,IOB_X0Y632
M16,72,IO_L6N_T0U_N11_AD6N_72,1,IOB_X0Y635
N16,72,IO_L6P_T0U_N10_AD6P_72,1,IOB_X0Y634
K13,72,IO_L7N_T1L_N1_QBC_AD13N_72,1,IOB_X0Y638
L13,72,IO_L7P_T1L_N0_QBC_AD13P_72,1,IOB_X0Y637
K15,72,IO_L8N_T1L_N3_AD5N_72,1,IOB_X0Y640
K16,72,IO_L8P_T1L_N2_AD5P_72,1,IOB_X0Y639
H13,72,IO_L9N_T1L_N5_AD12N_72,1,IOB_X0Y642
J13,72,IO_L9P_T1L_N4_AD12P_72,1,IOB_X0Y641
H16,72,IO_L10N_T1U_N7_QBC_AD4N_72,1,IOB_X0Y644
H17,72,IO_L10P_T1U_N6_QBC_AD4P_72,1,IOB_X0Y643
H14,72,IO_L11N_T1U_N9_GC_72,1,IOB_X0Y646
J14,72,IO_L11P_T1U_N8_GC_72,1,IOB_X0Y645
J15,72,IO_L12N_T1U_N11_GC_72,1,IOB_X0Y648
J16,72,IO_L12P_T1U_N10_GC_72,1,IOB_X0Y647
F14,72,IO_L13N_T2L_N1_GC_QBC_72,1,IOB_X0Y651
G14,72,IO_L13P_T2L_N0_GC_QBC_72,1,IOB_X0Y650
F15,72,IO_L14N_T2L_N3_GC_72,1,IOB_X0Y653
G15,72,IO_L14P_T2L_N2_GC_72,1,IOB_X0Y652
E13,72,IO_L15N_T2L_N5_AD11N_72,1,IOB_X0Y655
F13,72,IO_L15P_T2L_N4_AD11P_72,1,IOB_X0Y654
G16,72,IO_L16N_T2U_N7_QBC_AD3N_72,1,IOB_X0Y657
G17,72,IO_L16P_T2U_N6_QBC_AD3P_72,1,IOB_X0Y656
D15,72,IO_L17N_T2U_N9_AD10N_72,1,IOB_X0Y659
E15,72,IO_L17P_T2U_N8_AD10P_72,1,IOB_X0Y658
D16,72,IO_L18N_T2U_N11_AD2N_72,1,IOB_X0Y661
E16,72,IO_L18P_T2U_N10_AD2P_72,1,IOB_X0Y660
C13,72,IO_L19N_T3L_N1_DBC_AD9N_72,1,IOB_X0Y664
D13,72,IO_L19P_T3L_N0_DBC_AD9P_72,1,IOB_X0Y663
B14,72,IO_L20N_T3L_N3_AD1N_72,1,IOB_X0Y666
C14,72,IO_L20P_T3L_N2_AD1P_72,1,IOB_X0Y665
A13,72,IO_L21N_T3L_N5_AD8N_72,1,IOB_X0Y668
A14,72,IO_L21P_T3L_N4_AD8P_72,1,IOB_X0Y667
A15,72,IO_L22N_T3U_N7_DBC_AD0N_72,1,IOB_X0Y670
B15,72,IO_L22P_T3U_N6_DBC_AD0P_72,1,IOB_X0Y669
B16,72,IO_L23N_T3U_N9_72,1,IOB_X0Y672
C16,72,IO_L23P_T3U_N8_72,1,IOB_X0Y671
A17,72,IO_L24N_T3U_N11_72,1,IOB_X0Y674
B17,72,IO_L24P_T3U_N10_72,1,IOB_X0Y673
R18,73,IO_T0U_N12_VRP_73,1,IOB_X0Y688
K21,73,IO_T1U_N12_73,1,IOB_X0Y701
G21,73,IO_T2U_N12_73,1,IOB_X0Y714
A18,73,IO_T3U_N12_73,1,IOB_X0Y727
M17,73,IO_L1N_T0L_N1_DBC_73,1,IOB_X0Y677
N17,73,IO_L1P_T0L_N0_DBC_73,1,IOB_X0Y676
N18,73,IO_L2N_T0L_N3_73,1,IOB_X0Y679
P18,73,IO_L2P_T0L_N2_73,1,IOB_X0Y678
M19,73,IO_L3N_T0L_N5_AD15N_73,1,IOB_X0Y681
M20,73,IO_L3P_T0L_N4_AD15P_73,1,IOB_X0Y680
N19,73,IO_L4N_T0U_N7_DBC_AD7N_73,1,IOB_X0Y683
P19,73,IO_L4P_T0U_N6_DBC_AD7P_73,1,IOB_X0Y682
P20,73,IO_L5N_T0U_N9_AD14N_73,1,IOB_X0Y685
R20,73,IO_L5P_T0U_N8_AD14P_73,1,IOB_X0Y684
M21,73,IO_L6N_T0U_N11_AD6N_73,1,IOB_X0Y687
N21,73,IO_L6P_T0U_N10_AD6P_73,1,IOB_X0Y686
K17,73,IO_L7N_T1L_N1_QBC_AD13N_73,1,IOB_X0Y690
L17,73,IO_L7P_T1L_N0_QBC_AD13P_73,1,IOB_X0Y689
L18,73,IO_L8N_T1L_N3_AD5N_73,1,IOB_X0Y692
L19,73,IO_L8P_T1L_N2_AD5P_73,1,IOB_X0Y691
K20,73,IO_L9N_T1L_N5_AD12N_73,1,IOB_X0Y694
L20,73,IO_L9P_T1L_N4_AD12P_73,1,IOB_X0Y693
H21,73,IO_L10N_T1U_N7_QBC_AD4N_73,1,IOB_X0Y696
J21,73,IO_L10P_T1U_N6_QBC_AD4P_73,1,IOB_X0Y695
J18,73,IO_L11N_T1U_N9_GC_73,1,IOB_X0Y698
K18,73,IO_L11P_T1U_N8_GC_73,1,IOB_X0Y697
J19,73,IO_L12N_T1U_N11_GC_73,1,IOB_X0Y700
J20,73,IO_L12P_T1U_N10_GC_73,1,IOB_X0Y699
H18,73,IO_L13N_T2L_N1_GC_QBC_73,1,IOB_X0Y703
H19,73,IO_L13P_T2L_N0_GC_QBC_73,1,IOB_X0Y702
G19,73,IO_L14N_T2L_N3_GC_73,1,IOB_X0Y705
G20,73,IO_L14P_T2L_N2_GC_73,1,IOB_X0Y704
F19,73,IO_L15N_T2L_N5_AD11N_73,1,IOB_X0Y707
F20,73,IO_L15P_T2L_N4_AD11P_73,1,IOB_X0Y706
E17,73,IO_L16N_T2U_N7_QBC_AD3N_73,1,IOB_X0Y709
E18,73,IO_L16P_T2U_N6_QBC_AD3P_73,1,IOB_X0Y708
E20,73,IO_L17N_T2U_N9_AD10N_73,1,IOB_X0Y711
E21,73,IO_L17P_T2U_N8_AD10P_73,1,IOB_X0Y710
F17,73,IO_L18N_T2U_N11_AD2N_73,1,IOB_X0Y713
F18,73,IO_L18P_T2U_N10_AD2P_73,1,IOB_X0Y712
C19,73,IO_L19N_T3L_N1_DBC_AD9N_73,1,IOB_X0Y716
D19,73,IO_L19P_T3L_N0_DBC_AD9P_73,1,IOB_X0Y715
D20,73,IO_L20N_T3L_N3_AD1N_73,1,IOB_X0Y718
D21,73,IO_L20P_T3L_N2_AD1P_73,1,IOB_X0Y717
B21,73,IO_L21N_T3L_N5_AD8N_73,1,IOB_X0Y720
C21,73,IO_L21P_T3L_N4_AD8P_73,1,IOB_X0Y719
C18,73,IO_L22N_T3U_N7_DBC_AD0N_73,1,IOB_X0Y722
D18,73,IO_L22P_T3U_N6_DBC_AD0P_73,1,IOB_X0Y721
A19,73,IO_L23N_T3U_N9_73,1,IOB_X0Y724
B19,73,IO_L23P_T3U_N8_73,1,IOB_X0Y723
A20,73,IO_L24N_T3U_N11_73,1,IOB_X0Y726
B20,73,IO_L24P_T3U_N10_73,1,IOB_X0Y725
R23,74,IO_T0U_N12_VRP_74,1,IOB_X0Y740
H22,74,IO_T1U_N12_74,1,IOB_X0Y753
F25,74,IO_T2U_N12_74,1,IOB_X0Y766
D26,74,IO_T3U_N12_74,1,IOB_X0Y779
P21,74,IO_L1N_T0L_N1_DBC_74,1,IOB_X0Y729
R21,74,IO_L1P_T0L_N0_DBC_74,1,IOB_X0Y728
M22,74,IO_L2N_T0L_N3_74,1,IOB_X0Y731
N22,74,IO_L2P_T0L_N2_74,1,IOB_X0Y730
N23,74,IO_L3N_T0L_N5_AD15N_74,1,IOB_X0Y733
P23,74,IO_L3P_T0L_N4_AD15P_74,1,IOB_X0Y732
N24,74,IO_L4N_T0U_N7_DBC_AD7N_74,1,IOB_X0Y735
P24,74,IO_L4P_T0U_N6_DBC_AD7P_74,1,IOB_X0Y734
M24,74,IO_L5N_T0U_N9_AD14N_74,1,IOB_X0Y737
M25,74,IO_L5P_T0U_N8_AD14P_74,1,IOB_X0Y736
P25,74,IO_L6N_T0U_N11_AD6N_74,1,IOB_X0Y739
R25,74,IO_L6P_T0U_N10_AD6P_74,1,IOB_X0Y738
L24,74,IO_L7N_T1L_N1_QBC_AD13N_74,1,IOB_X0Y742
L25,74,IO_L7P_T1L_N0_QBC_AD13P_74,1,IOB_X0Y741
K22,74,IO_L8N_T1L_N3_AD5N_74,1,IOB_X0Y744
L22,74,IO_L8P_T1L_N2_AD5P_74,1,IOB_X0Y743
K23,74,IO_L9N_T1L_N5_AD12N_74,1,IOB_X0Y746
L23,74,IO_L9P_T1L_N4_AD12P_74,1,IOB_X0Y745
J25,74,IO_L10N_T1U_N7_QBC_AD4N_74,1,IOB_X0Y748
K25,74,IO_L10P_T1U_N6_QBC_AD4P_74,1,IOB_X0Y747
H23,74,IO_L11N_T1U_N9_GC_74,1,IOB_X0Y750
J23,74,IO_L11P_T1U_N8_GC_74,1,IOB_X0Y749
H24,74,IO_L12N_T1U_N11_GC_74,1,IOB_X0Y752
J24,74,IO_L12P_T1U_N10_GC_74,1,IOB_X0Y751
G24,74,IO_L13N_T2L_N1_GC_QBC_74,1,IOB_X0Y755
G25,74,IO_L13P_T2L_N0_GC_QBC_74,1,IOB_X0Y754
F23,74,IO_L14N_T2L_N3_GC_74,1,IOB_X0Y757
F24,74,IO_L14P_T2L_N2_GC_74,1,IOB_X0Y756
F22,74,IO_L15N_T2L_N5_AD11N_74,1,IOB_X0Y759
G22,74,IO_L15P_T2L_N4_AD11P_74,1,IOB_X0Y758
E22,74,IO_L16N_T2U_N7_QBC_AD3N_74,1,IOB_X0Y761
E23,74,IO_L16P_T2U_N6_QBC_AD3P_74,1,IOB_X0Y760
D23,74,IO_L17N_T2U_N9_AD10N_74,1,IOB_X0Y763
D24,74,IO_L17P_T2U_N8_AD10P_74,1,IOB_X0Y762
D25,74,IO_L18N_T2U_N11_AD2N_74,1,IOB_X0Y765
E25,74,IO_L18P_T2U_N10_AD2P_74,1,IOB_X0Y764
B22,74,IO_L19N_T3L_N1_DBC_AD9N_74,1,IOB_X0Y768
C22,74,IO_L19P_T3L_N0_DBC_AD9P_74,1,IOB_X0Y767
C23,74,IO_L20N_T3L_N3_AD1N_74,1,IOB_X0Y770
C24,74,IO_L20P_T3L_N2_AD1P_74,1,IOB_X0Y769
B26,74,IO_L21N_T3L_N5_AD8N_74,1,IOB_X0Y772
C26,74,IO_L21P_T3L_N4_AD8P_74,1,IOB_X0Y771
A22,74,IO_L22N_T3U_N7_DBC_AD0N_74,1,IOB_X0Y774
A23,74,IO_L22P_T3U_N6_DBC_AD0P_74,1,IOB_X0Y773
A24,74,IO_L23N_T3U_N9_74,1,IOB_X0Y776
B24,74,IO_L23P_T3U_N8_74,1,IOB_X0Y775
A25,74,IO_L24N_T3U_N11_74,1,IOB_X0Y778
B25,74,IO_L24P_T3U_N10_74,1,IOB_X0Y777
BA41,124,MGTREFCLK0N_124,0,GTYE4_COMMON_X0Y4
BA40,124,MGTREFCLK0P_124,0,GTYE4_COMMON_X0Y4
BC46,124,MGTYRXN0_124,0,GTYE4_CHANNEL_X0Y16
BC45,124,MGTYRXP0_124,0,GTYE4_CHANNEL_X0Y16
BF43,124,MGTYTXN0_124,0,GTYE4_CHANNEL_X0Y16
BF42,124,MGTYTXP0_124,0,GTYE4_CHANNEL_X0Y16
AY39,124,MGTREFCLK1N_124,0,GTYE4_COMMON_X0Y4
AY38,124,MGTREFCLK1P_124,0,GTYE4_COMMON_X0Y4
BA46,124,MGTYRXN1_124,0,GTYE4_CHANNEL_X0Y17
BA45,124,MGTYRXP1_124,0,GTYE4_CHANNEL_X0Y17
BD43,124,MGTYTXN1_124,0,GTYE4_CHANNEL_X0Y17
BD42,124,MGTYTXP1_124,0,GTYE4_CHANNEL_X0Y17
AW46,124,MGTYRXN2_124,0,GTYE4_CHANNEL_X0Y18
AW45,124,MGTYRXP2_124,0,GTYE4_CHANNEL_X0Y18
BB43,124,MGTYTXN2_124,0,GTYE4_CHANNEL_X0Y18
BB42,124,MGTYTXP2_124,0,GTYE4_CHANNEL_X0Y18
AV44,124,MGTYRXN3_124,0,GTYE4_CHANNEL_X0Y19
AV43,124,MGTYRXP3_124,0,GTYE4_CHANNEL_X0Y19
AW41,124,MGTYTXN3_124,0,GTYE4_CHANNEL_X0Y19
AW40,124,MGTYTXP3_124,0,GTYE4_CHANNEL_X0Y19
AV39,125,MGTREFCLK0N_125,0,GTYE4_COMMON_X0Y5
AV38,125,MGTREFCLK0P_125,0,GTYE4_COMMON_X0Y5
AU46,125,MGTYRXN0_125,0,GTYE4_CHANNEL_X0Y20
AU45,125,MGTYRXP0_125,0,GTYE4_CHANNEL_X0Y20
AU41,125,MGTYTXN0_125,0,GTYE4_CHANNEL_X0Y20
AU40,125,MGTYTXP0_125,0,GTYE4_CHANNEL_X0Y20
AU37,125,MGTREFCLK1N_125,0,GTYE4_COMMON_X0Y5
AU36,125,MGTREFCLK1P_125,0,GTYE4_COMMON_X0Y5
AT44,125,MGTYRXN1_125,0,GTYE4_CHANNEL_X0Y21
AT43,125,MGTYRXP1_125,0,GTYE4_CHANNEL_X0Y21
AT39,125,MGTYTXN1_125,0,GTYE4_CHANNEL_X0Y21
AT38,125,MGTYTXP1_125,0,GTYE4_CHANNEL_X0Y21
AR46,125,MGTYRXN2_125,0,GTYE4_CHANNEL_X0Y22
AR45,125,MGTYRXP2_125,0,GTYE4_CHANNEL_X0Y22
AR41,125,MGTYTXN2_125,0,GTYE4_CHANNEL_X0Y22
AR40,125,MGTYTXP2_125,0,GTYE4_CHANNEL_X0Y22
AP44,125,MGTYRXN3_125,0,GTYE4_CHANNEL_X0Y23
AP43,125,MGTYRXP3_125,0,GTYE4_CHANNEL_X0Y23
AP39,125,MGTYTXN3_125,0,GTYE4_CHANNEL_X0Y23
AP38,125,MGTYTXP3_125,0,GTYE4_CHANNEL_X0Y23
AR37,126,MGTREFCLK0N_126,0,GTYE4_COMMON_X0Y6
AR36,126,MGTREFCLK0P_126,0,GTYE4_COMMON_X0Y6
AN46,126,MGTYRXN0_126,0,GTYE4_CHANNEL_X0Y24
AN45,126,MGTYRXP0_126,0,GTYE4_CHANNEL_X0Y24
AN41,126,MGTYTXN0_126,0,GTYE4_CHANNEL_X0Y24
AN40,126,MGTYTXP0_126,0,GTYE4_CHANNEL_X0Y24
AN37,126,MGTREFCLK1N_126,0,GTYE4_COMMON_X0Y6
AN36,126,MGTREFCLK1P_126,0,GTYE4_COMMON_X0Y6
AM44,126,MGTYRXN1_126,0,GTYE4_CHANNEL_X0Y25
AM43,126,MGTYRXP1_126,0,GTYE4_CHANNEL_X0Y25
AM39,126,MGTYTXN1_126,0,GTYE4_CHANNEL_X0Y25
AM38,126,MGTYTXP1_126,0,GTYE4_CHANNEL_X0Y25
AL46,126,MGTYRXN2_126,0,GTYE4_CHANNEL_X0Y26
AL45,126,MGTYRXP2_126,0,GTYE4_CHANNEL_X0Y26
AL41,126,MGTYTXN2_126,0,GTYE4_CHANNEL_X0Y26
AL40,126,MGTYTXP2_126,0,GTYE4_CHANNEL_X0Y26
AK44,126,MGTYRXN3_126,0,GTYE4_CHANNEL_X0Y27
AK43,126,MGTYRXP3_126,0,GTYE4_CHANNEL_X0Y27
AK39,126,MGTYTXN3_126,0,GTYE4_CHANNEL_X0Y27
AK38,126,MGTYTXP3_126,0,GTYE4_CHANNEL_X0Y27
AL37,127,MGTREFCLK0N_127,0,GTYE4_COMMON_X0Y7
AL36,127,MGTREFCLK0P_127,0,GTYE4_COMMON_X0Y7
AJ46,127,MGTYRXN0_127,0,GTYE4_CHANNEL_X0Y28
AJ45,127,MGTYRXP0_127,0,GTYE4_CHANNEL_X0Y28
AJ41,127,MGTYTXN0_127,0,GTYE4_CHANNEL_X0Y28
AJ40,127,MGTYTXP0_127,0,GTYE4_CHANNEL_X0Y28
AJ37,127,MGTREFCLK1N_127,0,GTYE4_COMMON_X0Y7
AJ36,127,MGTREFCLK1P_127,0,GTYE4_COMMON_X0Y7
AH44,127,MGTYRXN1_127,0,GTYE4_CHANNEL_X0Y29
AH43,127,MGTYRXP1_127,0,GTYE4_CHANNEL_X0Y29
AH39,127,MGTYTXN1_127,0,GTYE4_CHANNEL_X0Y29
AH38,127,MGTYTXP1_127,0,GTYE4_CHANNEL_X0Y29
AG46,127,MGTYRXN2_127,0,GTYE4_CHANNEL_X0Y30
AG45,127,MGTYRXP2_127,0,GTYE4_CHANNEL_X0Y30
AG41,127,MGTYTXN2_127,0,GTYE4_CHANNEL_X0Y30
AG40,127,MGTYTXP2_127,0,GTYE4_CHANNEL_X0Y30
AF44,127,MGTYRXN3_127,0,GTYE4_CHANNEL_X0Y31
AF43,127,MGTYRXP3_127,0,GTYE4_CHANNEL_X0Y31
AF39,127,MGTYTXN3_127,0,GTYE4_CHANNEL_X0Y31
AF38,127,MGTYTXP3_127,0,GTYE4_CHANNEL_X0Y31
AG37,128,MGTREFCLK0N_128,0,GTYE4_COMMON_X0Y8
AG36,128,MGTREFCLK0P_128,0,GTYE4_COMMON_X0Y8
AE46,128,MGTYRXN0_128,0,GTYE4_CHANNEL_X0Y32
AE45,128,MGTYRXP0_128,0,GTYE4_CHANNEL_X0Y32
AE41,128,MGTYTXN0_128,0,GTYE4_CHANNEL_X0Y32
AE40,128,MGTYTXP0_128,0,GTYE4_CHANNEL_X0Y32
AE37,128,MGTREFCLK1N_128,0,GTYE4_COMMON_X0Y8
AE36,128,MGTREFCLK1P_128,0,GTYE4_COMMON_X0Y8
AD44,128,MGTYRXN1_128,0,GTYE4_CHANNEL_X0Y33
AD43,128,MGTYRXP1_128,0,GTYE4_CHANNEL_X0Y33
AD39,128,MGTYTXN1_128,0,GTYE4_CHANNEL_X0Y33
AD38,128,MGTYTXP1_128,0,GTYE4_CHANNEL_X0Y33
AC46,128,MGTYRXN2_128,0,GTYE4_CHANNEL_X0Y34
AC45,128,MGTYRXP2_128,0,GTYE4_CHANNEL_X0Y34
AC41,128,MGTYTXN2_128,0,GTYE4_CHANNEL_X0Y34
AC40,128,MGTYTXP2_128,0,GTYE4_CHANNEL_X0Y34
AB44,128,MGTYRXN3_128,0,GTYE4_CHANNEL_X0Y35
AB43,128,MGTYRXP3_128,0,GTYE4_CHANNEL_X0Y35
AB39,128,MGTYTXN3_128,0,GTYE4_CHANNEL_X0Y35
AB38,128,MGTYTXP3_128,0,GTYE4_CHANNEL_X0Y35
AC37,129,MGTREFCLK0N_129,0,GTYE4_COMMON_X0Y9
AC36,129,MGTREFCLK0P_129,0,GTYE4_COMMON_X0Y9
AA46,129,MGTYRXN0_129,0,GTYE4_CHANNEL_X0Y36
AA45,129,MGTYRXP0_129,0,GTYE4_CHANNEL_X0Y36
AA41,129,MGTYTXN0_129,0,GTYE4_CHANNEL_X0Y36
AA40,129,MGTYTXP0_129,0,GTYE4_CHANNEL_X0Y36
AA37,129,MGTREFCLK1N_129,0,GTYE4_COMMON_X0Y9
AA36,129,MGTREFCLK1P_129,0,GTYE4_COMMON_X0Y9
Y44,129,MGTYRXN1_129,0,GTYE4_CHANNEL_X0Y37
Y43,129,MGTYRXP1_129,0,GTYE4_CHANNEL_X0Y37
Y39,129,MGTYTXN1_129,0,GTYE4_CHANNEL_X0Y37
Y38,129,MGTYTXP1_129,0,GTYE4_CHANNEL_X0Y37
